,PMID,Publication_type
207,12112820,case reports
208,12112820,letter
209,12762644,journal article
210,12843153,journal article
211,12843153,"research support, non-u.s. gov't"
212,12938097,journal article
213,12938097,"research support, non-u.s. gov't"
214,12723261,case reports
215,12723261,journal article
216,12192540,journal article
217,12192540,review
218,11943633,english abstract
219,11943633,journal article
220,11943633,review
221,14660812,journal article
222,14660812,review
223,11879144,journal article
224,11879144,"research support, u.s. gov't, non-p.h.s."
225,11879144,"research support, u.s. gov't, p.h.s."
226,11879144,review
227,12122718,english abstract
228,12122718,journal article
229,11788632,case reports
230,11788632,comparative study
231,11788632,journal article
232,11788632,"research support, non-u.s. gov't"
233,12975279,case reports
234,12975279,journal article
235,12227127,journal article
236,12227127,"research support, non-u.s. gov't"
237,12227127,review
238,12227127,systematic review
239,14611703,journal article
240,12068130,journal article
241,12068130,review
242,11835123,journal article
243,12666822,journal article
244,12218817,case reports
245,12218817,journal article
246,14636743,case reports
247,14636743,journal article
248,14636743,review
249,12874154,comment
250,12874154,letter
251,14520113,journal article
252,12225636,journal article
253,12602545,letter
254,12088916,clinical trial
255,12088916,comparative study
256,12088916,journal article
257,12088916,randomized controlled trial
258,12082704,biography
259,12082704,editorial
260,12082704,historical article
261,14727345,journal article
262,14727345,review
263,12112546,case reports
264,12112546,journal article
265,14666764,clinical trial
266,14666764,english abstract
267,14666764,journal article
268,14666764,randomized controlled trial
269,12232474,case reports
270,12232474,journal article
271,12487766,journal article
272,12487766,review
273,14645617,historical article
274,14645617,journal article
275,12446919,journal article
276,11936475,historical article
277,11936475,journal article
278,12973493,case reports
279,12973493,journal article
280,12973493,review
281,12184022,english abstract
282,12184022,journal article
283,12879780,case reports
284,12879780,journal article
285,12195240,journal article
286,12195240,review
287,14762489,journal article
288,14673283,case reports
289,14673283,journal article
290,12088914,journal article
291,12088914,"research support, non-u.s. gov't"
292,12088914,review
293,11936460,journal article
294,12813398,case reports
295,12813398,journal article
296,14534011,case reports
297,14534011,journal article
298,12296417,comparative study
299,12296417,journal article
300,12296417,"research support, non-u.s. gov't"
301,15641552,journal article
302,12240868,letter
303,12193875,english abstract
304,12193875,journal article
305,12140107,case reports
306,12140107,journal article
307,12140107,review
308,14588104,case reports
309,14588104,journal article
310,12972211,case reports
311,12972211,letter
312,11975374,journal article
313,11975374,"research support, non-u.s. gov't"
314,12872655,clinical trial
315,12872655,journal article
316,12235469,journal article
317,11939756,journal article
318,14639798,comparative study
319,14639798,journal article
320,14639798,"research support, non-u.s. gov't"
321,12876418,journal article
322,12171050,journal article
323,14671219,comment
324,14671219,letter
325,14654340,comment
326,14654340,comparative study
327,14654340,letter
328,16444154,journal article
329,16444154,review
330,12847995,journal article
331,15806798,journal article
332,15806798,review
333,12953405,english abstract
334,12953405,journal article
335,12199330,journal article
336,12773996,letter
337,12895627,case reports
338,12895627,journal article
339,14717526,journal article
340,15518150,english abstract
341,15518150,journal article
342,15518150,review
343,12434111,journal article
344,12434111,review
345,14513882,journal article
346,14513882,"research support, non-u.s. gov't"
347,15524155,english abstract
348,15524155,journal article
349,12076947,clinical trial
350,12076947,comparative study
351,12076947,journal article
352,12076947,"research support, non-u.s. gov't"
353,12884093,journal article
354,12926167,journal article
355,11881292,english abstract
356,11881292,journal article
357,12577605,english abstract
358,12577605,journal article
359,12762632,journal article
360,12762632,"research support, non-u.s. gov't"
361,12762632,review
362,12940694,journal article
363,12940694,"research support, non-u.s. gov't"
364,12940694,review
365,11858626,journal article
366,12808806,journal article
367,12192547,journal article
368,11921647,comparative study
369,11921647,english abstract
370,11921647,journal article
371,14768805,case reports
372,14768805,journal article
373,11834423,journal article
374,11834423,meta-analysis
375,15027744,case reports
376,15027744,journal article
377,12553699,journal article
378,12553699,"research support, non-u.s. gov't"
379,12602535,journal article
380,12066519,news
381,12710051,journal article
382,12710051,review
383,15179770,english abstract
384,15179770,journal article
385,12005008,comparative study
386,12005008,journal article
387,12005008,review
388,12508924,journal article
389,14521769,english abstract
390,14521769,journal article
391,12397534,journal article
392,12723563,guideline
393,12723563,journal article
394,12723563,practice guideline
395,12630081,journal article
396,12952377,journal article
397,12798486,case reports
398,12798486,journal article
399,12607674,case reports
400,12607674,journal article
401,15179761,case reports
402,15179761,english abstract
403,15179761,journal article
404,12698518,case reports
405,12698518,journal article
406,12185993,comparative study
407,12185993,journal article
408,11916292,journal article
409,11916292,"research support, non-u.s. gov't"
410,12822378,english abstract
411,12822378,journal article
412,11989127,english abstract
413,11989127,journal article
414,14561369,case reports
415,14561369,journal article
416,14561369,review
417,11885374,case reports
418,11885374,english abstract
419,11885374,journal article
420,11953906,comment
421,11953906,letter
422,12423440,case reports
423,12423440,journal article
424,12864792,journal article
425,11827763,journal article
426,11827763,"research support, non-u.s. gov't"
427,12855011,comparative study
428,12855011,journal article
429,12855011,"research support, non-u.s. gov't"
430,12100323,journal article
431,12100323,"research support, non-u.s. gov't"
432,12213667,journal article
433,12945172,english abstract
434,12945172,journal article
435,12195241,journal article
436,12195241,review
437,14725052,case reports
438,14725052,english abstract
439,14725052,journal article
440,12765001,case reports
441,12765001,journal article
442,12601300,journal article
443,12832032,journal article
444,12832032,"research support, non-u.s. gov't"
445,12746758,comparative study
446,12746758,journal article
447,12746758,"research support, non-u.s. gov't"
448,12948296,journal article
449,12424935,english abstract
450,12424935,journal article
451,12186643,congress
452,12612130,historical article
453,12612130,journal article
454,12193307,journal article
455,12953431,english abstract
456,12953431,journal article
457,12713257,clinical trial
458,12713257,journal article
459,11929086,journal article
460,14665720,journal article
461,12684664,journal article
462,12684664,"research support, non-u.s. gov't"
463,12879562,journal article
464,12879562,review
465,12371079,clinical trial
466,12371079,comparative study
467,12371079,english abstract
468,12371079,journal article
469,12371079,randomized controlled trial
470,12371079,"research support, non-u.s. gov't"
471,12649781,english abstract
472,12649781,journal article
473,12649781,"research support, non-u.s. gov't"
474,12901542,journal article
475,12920352,journal article
476,12630491,journal article
477,12687030,case reports
478,12687030,journal article
479,12687030,"research support, non-u.s. gov't"
480,11926912,journal article
481,12593577,case reports
482,12593577,journal article
483,12632929,journal article
484,12632929,review
485,12920751,comparative study
486,12920751,journal article
487,12028565,journal article
488,14583303,evaluation study
489,14583303,journal article
490,11885575,evaluation study
491,11885575,journal article
492,11885575,"research support, non-u.s. gov't"
493,12140870,journal article
494,12587972,case reports
495,12587972,journal article
496,11980162,english abstract
497,11980162,journal article
498,11921503,journal article
499,12789104,journal article
500,12789104,"research support, non-u.s. gov't"
501,12966202,clinical trial
502,12966202,journal article
503,12025531,case reports
504,12025531,journal article
505,12566734,case reports
506,12566734,letter
507,12415508,case reports
508,12415508,journal article
509,12566735,case reports
510,12566735,journal article
511,12441155,journal article
512,12914399,clinical trial
513,12914399,comparative study
514,12914399,english abstract
515,12914399,journal article
516,12914399,randomized controlled trial
517,12914399,"research support, non-u.s. gov't"
518,12887286,clinical trial
519,12887286,journal article
520,12887286,"research support, non-u.s. gov't"
521,12901092,journal article
522,12112665,corrected and republished article
523,12112665,journal article
524,12112665,"research support, non-u.s. gov't"
525,12584656,journal article
526,14768174,comparative study
527,14768174,english abstract
528,14768174,journal article
529,11961993,journal article
530,11961993,review
531,12745559,journal article
532,12640473,comparative study
533,12640473,journal article
534,12640473,"research support, non-u.s. gov't"
535,12490071,journal article
536,12490071,"research support, non-u.s. gov't"
537,14665710,journal article
538,14669608,comparative study
539,14669608,journal article
540,14708909,journal article
541,12097203,journal article
542,12097203,"research support, non-u.s. gov't"
543,12943562,journal article
544,12943562,"research support, non-u.s. gov't"
545,12943562,"research support, u.s. gov't, non-p.h.s."
546,12139131,journal article
547,12793063,english abstract
548,12793063,journal article
549,12793063,review
550,12613328,english abstract
551,12613328,journal article
552,15776598,english abstract
553,15776598,journal article
554,12500522,case reports
555,12500522,journal article
556,14648976,journal article
557,12580868,case reports
558,12580868,journal article
559,12624675,journal article
560,14503896,journal article
561,11982986,case reports
562,11982986,journal article
563,12444384,case reports
564,12444384,journal article
565,12362592,journal article
566,12945078,comparative study
567,12945078,journal article
568,12069220,case reports
569,12069220,journal article
570,12945184,comparative study
571,12945184,english abstract
572,12945184,journal article
573,11916762,clinical trial
574,11916762,journal article
575,11916762,randomized controlled trial
576,11916762,"research support, non-u.s. gov't"
577,15562741,journal article
578,12943834,english abstract
579,12943834,journal article
580,12813972,evaluation study
581,12813972,interview
582,14710590,journal article
583,12914361,clinical trial
584,12914361,journal article
585,12914361,randomized controlled trial
586,12494301,journal article
587,12494301,"research support, non-u.s. gov't"
588,12596476,journal article
589,12596476,review
590,12540404,clinical trial
591,12540404,journal article
592,12540404,randomized controlled trial
593,12540404,"research support, non-u.s. gov't"
594,12675959,journal article
595,12675959,multicenter study
596,14587443,journal article
597,14587443,review
598,12446916,comparative study
599,12446916,journal article
600,12446916,"research support, non-u.s. gov't"
601,11850477,journal article
602,11850477,"research support, non-u.s. gov't"
603,12208720,comparative study
604,12208720,journal article
605,12208720,"research support, non-u.s. gov't"
606,12729480,journal article
607,12574230,journal article
608,12574230,"research support, non-u.s. gov't"
609,12919152,journal article
610,12919152,"research support, non-u.s. gov't"
611,12870222,journal article
612,12845488,clinical trial
613,12845488,comparative study
614,12845488,controlled clinical trial
615,12845488,journal article
616,12581471,journal article
617,14690034,journal article
618,14974907,journal article
619,12733841,journal article
620,12733841,"research support, non-u.s. gov't"
621,12236085,english abstract
622,12236085,journal article
623,12762633,journal article
624,12862416,journal article
625,12862416,"research support, non-u.s. gov't"
626,12914398,journal article
627,12914398,multicenter study
628,12444889,clinical trial
629,12444889,comparative study
630,12444889,journal article
631,12444889,randomized controlled trial
632,12444889,"research support, non-u.s. gov't"
633,14663910,english abstract
634,14663910,journal article
635,12658827,comparative study
636,12658827,evaluation study
637,12658827,journal article
638,12442085,english abstract
639,12442085,journal article
640,12442085,review
641,12065237,journal article
642,12065237,"research support, non-u.s. gov't"
643,14623750,journal article
644,12727994,journal article
645,12727994,"research support, non-u.s. gov't"
646,12699588,clinical trial
647,12699588,journal article
648,12699588,"research support, non-u.s. gov't"
649,12915634,case reports
650,12915634,clinical trial
651,12915634,journal article
652,12915634,"research support, non-u.s. gov't"
653,14751036,journal article
654,12508180,journal article
655,12906364,journal article
656,12463429,comparative study
657,12463429,journal article
658,11819103,journal article
659,12699595,clinical trial
660,12699595,journal article
661,12699595,"research support, non-u.s. gov't"
662,12917062,journal article
663,12605179,journal article
664,12605179,"research support, non-u.s. gov't"
665,12033961,comparative study
666,12033961,journal article
667,12791623,journal article
668,12791623,"research support, non-u.s. gov't"
669,12791623,validation study
670,12230425,case reports
671,12230425,journal article
672,11893102,comparative study
673,11893102,journal article
674,12457449,clinical trial
675,12457449,journal article
676,12457449,randomized controlled trial
677,12457449,"research support, non-u.s. gov't"
678,14615862,journal article
679,14615862,"research support, non-u.s. gov't"
680,12001982,comparative study
681,12001982,journal article
682,12001982,"research support, non-u.s. gov't"
683,12883256,comment
684,12883256,comparative study
685,12883256,letter
686,12035935,journal article
687,12458844,journal article
688,12585349,case reports
689,12585349,journal article
690,14557483,journal article
691,14557483,"research support, non-u.s. gov't"
692,11890636,journal article
693,12225641,journal article
694,14514342,journal article
695,14514342,"research support, non-u.s. gov't"
696,11952045,journal article
697,11952045,"research support, non-u.s. gov't"
698,11833000,journal article
699,14564120,case reports
700,14564120,journal article
701,12518249,clinical trial
702,12518249,journal article
703,12493682,historical article
704,12493682,journal article
705,11807618,comment
706,11807618,letter
707,12165658,comparative study
708,12165658,journal article
709,12585342,journal article
710,12146030,journal article
711,12864797,journal article
712,14640988,clinical trial
713,14640988,journal article
714,14640988,randomized controlled trial
715,14640988,"research support, non-u.s. gov't"
716,11916282,clinical trial
717,11916282,journal article
718,11916282,randomized controlled trial
719,12742217,case reports
720,12742217,journal article
721,12471001,journal article
722,12516697,journal article
723,12720531,journal article
724,12225640,comparative study
725,12225640,journal article
726,12097201,clinical trial
727,12097201,journal article
728,12097201,randomized controlled trial
729,11932316,journal article
730,11932316,"research support, non-u.s. gov't"
731,12402405,journal article
732,12660648,biography
733,12660648,historical article
734,12660648,journal article
735,12660648,portrait
736,12481010,journal article
737,12481010,"research support, non-u.s. gov't"
738,11936473,journal article
739,11936473,"research support, non-u.s. gov't"
740,15255402,journal article
741,15255402,review
742,12975785,evaluation study
743,12975785,journal article
744,12027234,case reports
745,12027234,journal article
746,12225647,case reports
747,12225647,letter
748,12474915,comparative study
749,12474915,journal article
750,12474915,"research support, non-u.s. gov't"
751,12740015,comparative study
752,12740015,journal article
753,12116555,comparative study
754,12116555,journal article
755,12720530,journal article
756,12720530,multicenter study
757,12376780,evaluation study
758,12376780,journal article
759,12532684,journal article
760,12134778,case reports
761,12134778,journal article
762,12748250,journal article
763,12121402,case reports
764,12121402,journal article
765,12121402,"research support, non-u.s. gov't"
766,11982987,case reports
767,11982987,journal article
768,12442308,journal article
769,12213665,clinical trial
770,12213665,journal article
771,12213665,randomized controlled trial
772,11889201,journal article
773,11889201,"research support, non-u.s. gov't"
774,11751062,clinical trial
775,11751062,journal article
776,11751062,"research support, non-u.s. gov't"
777,12925983,comparative study
778,12925983,journal article
779,12082694,english abstract
780,12082694,journal article
781,11982740,journal article
782,12005000,case reports
783,12005000,journal article
784,12699526,case reports
785,12699526,journal article
786,15068231,journal article
787,12722837,journal article
788,12762635,journal article
789,12447634,case reports
790,12447634,journal article
791,12058305,english abstract
792,12058305,journal article
793,12002938,case reports
794,12002938,journal article
795,14580289,case reports
796,14580289,journal article
797,12827092,case reports
798,12827092,journal article
799,12580741,journal article
800,12161472,case reports
801,12161472,journal article
802,12973970,case reports
803,12973970,journal article
804,12762640,journal article
805,12762640,"research support, non-u.s. gov't"
806,12044424,address
807,12044424,historical article
808,12136811,case reports
809,12136811,journal article
810,11875842,english abstract
811,11875842,journal article
812,12371388,journal article
813,11916616,case reports
814,11916616,journal article
815,11916616,"research support, non-u.s. gov't"
816,12364477,journal article
817,12364477,"research support, non-u.s. gov't"
818,14655457,comparative study
819,14655457,journal article
820,12410951,journal article
821,12739739,journal article
822,14586508,journal article
823,12148388,journal article
824,11942013,case reports
825,11942013,journal article
826,15022401,english abstract
827,15022401,journal article
828,15022401,"research support, non-u.s. gov't"
829,12404520,journal article
830,12693603,journal article
831,12216489,journal article
832,12783706,english abstract
833,12783706,journal article
834,12783706,"research support, non-u.s. gov't"
835,12729476,journal article
836,12100072,journal article
837,12100072,"research support, non-u.s. gov't"
838,12602531,journal article
839,14506680,comment
840,14506680,letter
841,11838731,journal article
842,12407349,comparative study
843,12407349,journal article
844,12951976,letter
845,12072037,journal article
846,15072284,journal article
847,14595788,journal article
848,12695922,comparative study
849,12695922,evaluation study
850,12695922,journal article
851,12424934,journal article
852,12424934,"research support, non-u.s. gov't"
853,12879236,case reports
854,12879236,journal article
855,12411067,clinical trial
856,12411067,journal article
857,12411067,randomized controlled trial
858,14758806,case reports
859,14758806,journal article
860,12645410,journal article
861,12224455,english abstract
862,12224455,journal article
863,12658310,editorial
864,12214861,journal article
865,12214861,"research support, non-u.s. gov't"
866,12354133,clinical trial
867,12354133,journal article
868,12354133,randomized controlled trial
869,12382370,comparative study
870,12382370,evaluation study
871,12382370,journal article
872,12382370,"research support, non-u.s. gov't"
873,12148391,journal article
874,12490109,journal article
875,12508836,clinical trial
876,12508836,journal article
877,12100447,journal article
878,12100447,"research support, non-u.s. gov't"
879,12926198,comparative study
880,12926198,english abstract
881,12926198,journal article
882,12914396,editorial
883,12903621,case reports
884,12903621,english abstract
885,12903621,journal article
886,14751042,case reports
887,14751042,journal article
888,15100909,case reports
889,15100909,journal article
890,12616438,journal article
891,12616438,multicenter study
892,12186199,journal article
893,12186199,"research support, non-u.s. gov't"
894,12715636,journal article
895,12210624,journal article
896,12193877,case reports
897,12193877,journal article
898,12626830,journal article
899,12626830,"research support, non-u.s. gov't"
900,12680300,english abstract
901,12680300,journal article
902,14655137,journal article
903,12428877,case reports
904,12428877,journal article
905,14649472,journal article
906,12166366,journal article
907,12049693,comparative study
908,12049693,english abstract
909,12049693,journal article
910,12845832,case reports
911,12845832,comment
912,12845832,english abstract
913,12845832,journal article
914,12182248,editorial
915,14693502,case reports
916,14693502,journal article
917,12731243,comparative study
918,12731243,english abstract
919,12731243,journal article
920,12667361,english abstract
921,12667361,journal article
922,12667361,"research support, non-u.s. gov't"
923,12390346,case reports
924,12390346,journal article
925,12934444,case reports
926,12934444,comparative study
927,12934444,english abstract
928,12934444,journal article
929,12901264,english abstract
930,12901264,journal article
931,12766787,case reports
932,12766787,journal article
933,17722789,case reports
934,17722789,english abstract
935,17722789,journal article
936,12669544,journal article
937,12239773,case reports
938,12239773,journal article
939,12715652,letter
940,12822212,comparative study
941,12822212,evaluation study
942,12822212,journal article
943,12879603,english abstract
944,12879603,journal article
945,17298157,journal article
946,17298157,"research support, non-u.s. gov't"
947,12478541,comparative study
948,12478541,journal article
949,12371398,overall
950,12882135,historical article
951,12882135,journal article
952,14650793,case reports
953,14650793,journal article
954,15027738,case reports
955,15027738,journal article
956,12955050,english abstract
957,12955050,journal article
958,11944374,english abstract
959,11944374,journal article
960,15776593,comparative study
961,15776593,journal article
962,12873316,journal article
963,12873316,"research support, non-u.s. gov't"
964,15323237,journal article
965,14735747,journal article
966,12627600,journal article
967,12958768,news
968,12182247,letter
969,15022905,journal article
970,14725236,case reports
971,14725236,journal article
972,12148402,journal article
973,12063740,journal article
974,14503191,comparative study
975,14503191,journal article
976,12715346,english abstract
977,12715346,journal article
978,12508922,journal article
979,11889806,case reports
980,11889806,english abstract
981,11889806,journal article
982,12011748,case reports
983,12011748,english abstract
984,12011748,journal article
985,12428569,comparative study
986,12428569,english abstract
987,12428569,journal article
988,12804107,journal article
989,12804107,"research support, non-u.s. gov't"
990,14617385,journal article
991,12113636,case reports
992,12113636,journal article
993,12415954,journal article
994,12415954,review
995,12043914,comparative study
996,12043914,journal article
997,12049696,comparative study
998,12049696,journal article
999,12049696,review
1000,11936466,journal article
1001,11936466,multicenter study
1002,12324715,journal article
1003,14677744,case reports
1004,14677744,journal article
1005,12143183,case reports
1006,12143183,english abstract
1007,12143183,journal article
1008,12739735,journal article
1009,12488353,comparative study
1010,12488353,journal article
1011,12488353,"research support, non-u.s. gov't"
1012,12518252,clinical trial
1013,12518252,journal article
1014,12110776,journal article
1015,13679708,case reports
1016,13679708,journal article
1017,12948932,case reports
1018,12948932,comment
1019,12948932,letter
1020,11908863,case reports
1021,11908863,journal article
1022,12593725,journal article
1023,12593725,"research support, non-u.s. gov't"
1024,12192548,journal article
1025,12192548,review
1026,11980615,journal article
1027,11980615,"research support, non-u.s. gov't"
1028,12244277,journal article
1029,12244277,review
1030,12628122,case reports
1031,12628122,english abstract
1032,12628122,journal article
1033,11851085,case reports
1034,11851085,english abstract
1035,11851085,journal article
1036,14751035,journal article
1037,14756065,english abstract
1038,14756065,journal article
1039,14756065,multicenter study
1040,11952039,journal article
1041,11952039,review
1042,12479762,letter
1043,12239055,journal article
1044,12919159,comparative study
1045,12919159,journal article
1046,12919159,"research support, non-u.s. gov't"
1047,12045444,case reports
1048,12045444,journal article
1049,11952037,journal article
1050,11952037,"research support, non-u.s. gov't"
1051,12409728,comparative study
1052,12409728,journal article
1053,12409728,multicenter study
1054,11887748,journal article
1055,11887748,"research support, non-u.s. gov't"
1056,12035941,journal article
1057,12466344,journal article
1058,14677315,case reports
1059,14677315,journal article
1060,14654350,journal article
1061,14654350,review
1062,14516260,comparative study
1063,14516260,english abstract
1064,14516260,journal article
1065,12820929,clinical trial
1066,12820929,comparative study
1067,12820929,english abstract
1068,12820929,journal article
1069,12820929,randomized controlled trial
1070,14593902,english abstract
1071,14593902,journal article
1072,12408075,journal article
1073,12476614,journal article
1074,12657544,english abstract
1075,12657544,journal article
1076,12471283,evaluation study
1077,12471283,journal article
1078,12972777,case reports
1079,12972777,journal article
1080,12578408,journal article
1081,12955622,journal article
1082,12955622,review
1083,12838901,journal article
1084,12838901,review
1085,12487171,case reports
1086,12487171,journal article
1087,12967860,journal article
1088,12485523,english abstract
1089,12485523,journal article
1090,12485523,"research support, non-u.s. gov't"
1091,12474914,journal article
1092,12474914,review
1093,11801513,journal article
1094,11801513,review
1095,12815892,english abstract
1096,12815892,journal article
1097,14671007,journal article
1098,14671007,"research support, u.s. gov't, non-p.h.s."
1099,14671007,"research support, u.s. gov't, p.h.s."
1100,14671007,review
1101,11939758,case reports
1102,11939758,journal article
1103,11939758,review
1104,12618337,journal article
1105,14503045,case reports
1106,14503045,english abstract
1107,14503045,journal article
1108,12215555,journal article
1109,14588237,case reports
1110,14588237,journal article
1111,12660642,journal article
1112,12704891,english abstract
1113,12704891,journal article
1114,14611710,case reports
1115,14611710,journal article
1116,12678273,comparative study
1117,12678273,journal article
1118,12537060,comparative study
1119,12537060,journal article
1120,11992884,case reports
1121,11992884,journal article
1122,12865535,case reports
1123,12865535,journal article
1124,12544139,journal article
1125,12458843,journal article
1126,14595244,english abstract
1127,14595244,journal article
1128,14595244,review
1129,12734493,journal article
1130,12734493,review
1131,11838728,journal article
1132,11838728,review
1133,12727937,journal article
1134,12727937,review
1135,12529162,journal article
1136,12529162,review
1137,12748792,evaluation study
1138,12748792,journal article
1139,12847617,journal article
1140,12847617,review
1141,12646095,english abstract
1142,12646095,journal article
1143,12641621,comparative study
1144,12641621,journal article
1145,12641621,"research support, non-u.s. gov't"
1146,12587221,bibliography
1147,12587221,biography
1148,12587221,historical article
1149,12029549,clinical trial
1150,12029549,comparative study
1151,12029549,journal article
1152,12627253,english abstract
1153,12627253,journal article
1154,12519830,case reports
1155,12519830,journal article
1156,12519830,"research support, non-u.s. gov't"
1157,12661107,case reports
1158,12661107,english abstract
1159,12661107,journal article
1160,12566736,case reports
1161,12566736,journal article
1162,12031010,case reports
1163,12031010,journal article
1164,12640074,case reports
1165,12640074,journal article
1166,12640074,"research support, non-u.s. gov't"
1167,14586273,journal article
1168,14574976,case reports
1169,14574976,journal article
1170,12952374,journal article
1171,12789462,journal article
1172,12789462,multicenter study
1173,12124238,journal article
1174,11806400,case reports
1175,11806400,comment
1176,11806400,journal article
1177,11806400,review
1178,14611711,case reports
1179,14611711,journal article
1180,12967795,comparative study
1181,12967795,journal article
1182,12967795,"research support, non-u.s. gov't"
1183,12967795,"research support, u.s. gov't, p.h.s."
1184,12687928,clinical trial
1185,12687928,english abstract
1186,12687928,journal article
1187,14631894,comparative study
1188,14631894,journal article
1189,12030606,journal article
1190,12050220,journal article
1191,16619748,journal article
1192,16619748,multicenter study
1193,16619748,"research support, non-u.s. gov't"
1194,15119264,english abstract
1195,15119264,journal article
1196,12553556,journal article
1197,12553556,"research support, non-u.s. gov't"
1198,12534318,journal article
1199,12534318,review
1200,12064074,journal article
1201,12064074,review
1202,11952043,clinical trial
1203,11952043,journal article
1204,11952043,randomized controlled trial
1205,11952042,journal article
1206,11952042,review
1207,12357047,journal article
1208,12021644,journal article
1209,12021644,"research support, non-u.s. gov't"
1210,12021644,"research support, u.s. gov't, p.h.s."
1211,11920802,case reports
1212,11920802,journal article
1213,12602528,journal article
1214,12136278,journal article
1215,12136278,"research support, non-u.s. gov't"
1216,12021645,journal article
1217,12271605,case reports
1218,12271605,journal article
1219,12389699,case reports
1220,12389699,journal article
1221,12532043,case reports
1222,12532043,journal article
1223,14625489,comparative study
1224,14625489,journal article
1225,15314993,clinical trial
