,PMID,Observational_study_characteristics
645,12804107,retrospective
648,12415954,retrospective studies
649,12415954,follow-up studies
650,12415954,retrospective
657,12739735,retrospective studies
658,12739735,retrospective
661,12110776,case-control studies
662,12110776,case-control
663,12110776,cross-sectional
670,11980615,longitudinal
671,11980615,cross-sectional
674,14751035,retrospective studies
675,14751035,cohort studies
676,14751035,retrospective
677,14751035,cohort
678,14756065,retrospective studies
679,14756065,retrospective
681,12479762,case-control studies
682,12479762,case-control
683,12239055,cross-sectional
689,12035941,cohort
690,12466344,cohort studies
691,12466344,cross-sectional studies
692,12466344,cohort
693,12466344,cross-sectional
696,14516260,retrospective studies
697,14516260,retrospective
699,14593902,retrospective studies
700,14593902,retrospective
702,12657544,retrospective studies
703,12657544,retrospective
704,12476614,retrospective studies
705,12476614,retrospective
713,12967860,case-control studies
714,12967860,case-control
720,12618337,prospective studies
721,12618337,prospective
726,12704891,prospective
739,12748792,retrospective studies
740,12748792,prospective studies
741,12748792,retrospective
742,12748792,prospective
744,12646095,retrospective studies
745,12646095,retrospective
746,12641621,follow-up studies
748,12029549,follow-up studies
754,12640074,follow-up studies
755,14586273,cohort studies
756,14586273,cohort
760,12124238,retrospective studies
761,12124238,retrospective
764,12967795,retrospective studies
765,12967795,follow-up studies
766,12967795,retrospective
773,15119264,retrospective studies
774,15119264,retrospective
782,12602528,prospective
787,12532043,follow-up studies
788,14625489,retrospective studies
789,14625489,retrospective
792,12931260,retrospective studies
793,12931260,follow-up studies
794,12931260,retrospective
795,12413310,retrospective studies
796,12413310,retrospective
797,12413310,prospective
799,14588098,case-control studies
800,14588098,case-control
802,15314994,follow-up studies
803,11999703,case-control studies
804,11999703,case-control
805,12560781,retrospective studies
806,12560781,retrospective
815,12964971,retrospective studies
816,12964971,retrospective
818,12411845,follow-up studies
821,11885370,retrospective studies
822,11885370,retrospective
830,12611611,cohort studies
831,12611611,cross-sectional studies
832,12611611,cohort
833,12611611,cross-sectional
834,12058303,retrospective
843,12930595,cohort studies
844,12930595,cohort
846,14506419,retrospective studies
847,14506419,retrospective
851,14704818,prospective studies
852,14704818,prospective
853,11825827,retrospective studies
854,11825827,retrospective
860,12093642,retrospective studies
861,12093642,retrospective
865,14709836,retrospective studies
866,14709836,retrospective
867,12914401,prospective
869,12224697,follow-up studies
879,11997801,retrospective studies
880,11997801,retrospective
881,11910320,prospective studies
882,11910320,prospective
885,14709834,case-control studies
886,14709834,case-control
895,12045064,prospective studies
896,12045064,prospective
899,21189578,case-control studies
900,21189578,case-control
902,12593727,case-control studies
903,12593727,case-control
908,11862510,follow-up studies
909,11777638,retrospective studies
910,11777638,follow-up studies
911,11777638,retrospective
912,11777638,cohort
915,12192554,follow-up studies
925,12953167,prospective
928,12201217,retrospective
931,12476893,case-control studies
932,12476893,case-control
933,12593726,prospective studies
934,12593726,prospective
938,11836297,follow-up studies
942,12096866,follow-up studies
944,12804100,case-control studies
945,12804100,case-control
957,12727967,retrospective studies
958,12727967,prospective studies
959,12727967,retrospective
960,12727967,prospective
961,12695788,follow-up studies
963,12414422,follow-up studies
966,12838020,retrospective studies
967,12838020,retrospective
972,12752091,prospective
973,12717285,retrospective studies
974,12717285,retrospective
979,14751028,case-control studies
980,14751028,case-control
996,12966807,follow-up studies
1006,12915636,cohort studies
1007,12915636,follow-up studies
1008,12915636,cohort
1009,12548473,follow-up studies
1010,12004314,follow-up studies
1014,12629071,prospective studies
1015,12629071,prospective
1016,12060552,retrospective studies
1017,12060552,retrospective
1019,11952049,prospective studies
1020,11952049,prospective
1024,12036674,cohort studies
1025,12036674,prospective studies
1026,12036674,cohort
1027,12036674,prospective
1030,12370710,retrospective studies
1031,12370710,retrospective
1032,11952046,prospective
1039,14588097,case-control studies
1040,14588097,case-control
1045,11818370,cohort studies
1046,11818370,prospective studies
1047,11818370,cohort
1048,11818370,prospective
1049,12635986,follow-up studies
1050,12520660,follow-up studies
1051,12520660,retrospective
1057,12770979,prospective studies
1058,12770979,prospective
1060,14740976,retrospective studies
1061,14740976,retrospective
1067,12699435,prospective studies
1068,12699435,cohort
1069,12699435,prospective
1072,14969154,case-control studies
1073,14969154,case-control
1075,12474569,case-control studies
1076,12474569,case-control
1079,12100074,case-control studies
1080,12100074,case-control
1081,12918557,case-control studies
1082,12918557,case-control
1083,14710474,retrospective studies
1084,14710474,retrospective
1085,14510917,case-control studies
1086,14510917,case-control
1094,12654356,retrospective studies
1095,12654356,retrospective
1096,12412287,retrospective
1098,12478382,retrospective studies
1099,12478382,follow-up studies
1100,12478382,retrospective
1101,14523539,follow-up studies
1103,14605604,cohort studies
1104,14605604,cohort
1109,12039694,follow-up studies
1110,12039694,cross-sectional studies
1111,12039694,longitudinal
1112,12039694,cross-sectional
1113,12861156,follow-up studies
1114,12861156,prospective
1115,12530259,case-control studies
1116,12530259,case-control
1119,12752052,case-control studies
1120,12752052,longitudinal studies
1121,12752052,cross-sectional studies
1122,12752052,case-control
1123,12752052,longitudinal
1124,12752052,cross-sectional
1125,12680288,retrospective studies
1126,12680288,retrospective
1128,12733708,prospective studies
1129,12733708,prospective
1132,12364424,prospective studies
1133,12364424,prospective
1135,12471007,retrospective studies
1136,12471007,retrospective
1139,12466333,retrospective studies
1140,12466333,retrospective
1141,12457917,prospective studies
1142,12457917,prospective
1143,12109622,cohort studies
1144,12109622,prospective studies
1145,12109622,cohort
1146,12109622,prospective
1153,12843817,retrospective studies
1154,12843817,cohort studies
1155,12843817,prospective studies
1156,12843817,retrospective
1157,12843817,cohort
1158,12843817,prospective
1173,12857055,follow-up studies
1174,12857041,follow-up studies
1180,12365214,retrospective studies
1181,12365214,retrospective
1185,12195287,case-control studies
1186,12195287,case-control
1187,15339114,case-control studies
1188,15339114,case-control
1192,12694583,case-control studies
1193,12694583,case-control
1197,12610047,cohort
1202,12616205,retrospective studies
1203,12616205,prospective studies
1204,12616205,retrospective
1205,12616205,prospective
1207,12218953,case-control studies
1208,12218953,case-control
1213,12732493,retrospective studies
1214,12732493,retrospective
1223,15369235,retrospective studies
1224,15369235,retrospective
1225,14971565,follow-up studies
1228,12025708,follow-up studies
1230,14759070,prospective studies
1231,14759070,prospective
1235,13129884,retrospective studies
1236,13129884,retrospective
1244,12028087,case-control studies
1245,12028087,retrospective studies
1246,12028087,case-control
1247,12028087,retrospective
1260,11836263,retrospective studies
1261,11836263,longitudinal studies
1262,11836263,retrospective
1263,11836263,longitudinal
1268,14594171,retrospective studies
1269,14594171,retrospective
1272,14750350,prospective studies
1273,14750350,prospective
1281,12091858,retrospective studies
1282,12091858,retrospective
1293,11779775,retrospective studies
1294,11779775,retrospective
1295,12053086,retrospective studies
1296,12053086,retrospective
1297,11782086,retrospective studies
1298,11782086,retrospective
1303,12153597,case-control studies
1304,12153597,retrospective studies
1305,12153597,longitudinal studies
1306,12153597,case-control
1307,12153597,retrospective
1308,12153597,longitudinal
1314,11788631,retrospective studies
1315,11788631,retrospective
1319,12030917,case-control studies
1320,12030917,case-control
1322,12780750,case-control studies
1323,12780750,follow-up studies
1324,12780750,case-control
1325,12780750,cohort
1332,12021647,retrospective studies
1333,12021647,retrospective
1336,14535973,longitudinal studies
1337,14535973,longitudinal
1339,11865341,follow-up studies
1340,11865341,retrospective
1343,12930371,case-control studies
1344,12930371,case-control
1346,12919165,cross-sectional studies
1347,12919165,cohort
1348,12919165,prospective
1349,12919165,cross-sectional
1353,12867863,follow-up studies
1355,12593721,case-control studies
1356,12593721,case-control
1359,12671107,follow-up studies
1361,12879724,follow-up studies
1362,12742842,prospective studies
1363,12742842,cohort
1364,12742842,prospective
1369,12919164,follow-up studies
1370,12919164,longitudinal
1374,12689909,retrospective studies
1375,12689909,retrospective
1384,12459596,retrospective studies
1385,12459596,retrospective
1387,12368609,case-control
1390,14714747,retrospective studies
1391,14714747,follow-up studies
1392,14714747,retrospective
1401,12734793,cohort
1409,12970276,prospective studies
1410,12970276,prospective
1417,12100069,case-control studies
1418,12100069,case-control
1419,14751034,prospective
1421,12610768,retrospective studies
1422,12610768,retrospective
1435,14523366,cross-sectional studies
1436,14523366,cross-sectional
1446,12354128,retrospective studies
1447,12354128,follow-up studies
1448,12354128,retrospective
1450,12515285,case-control studies
1451,12515285,case-control
1457,11889166,retrospective studies
1458,11889166,retrospective
1467,14974863,retrospective
1469,11940054,follow-up studies
1485,15941069,retrospective studies
1486,15941069,retrospective
1487,14768175,prospective studies
1488,14768175,prospective
1494,12008747,retrospective studies
1495,12008747,retrospective
1503,12244906,cohort studies
1504,12244906,prospective studies
1505,12244906,cohort
1506,12244906,prospective
1508,12207785,retrospective studies
1509,12207785,retrospective
1512,12200998,retrospective studies
1513,12200998,retrospective
1519,14629811,retrospective studies
1520,14629811,retrospective
1521,15250625,retrospective studies
1522,15250625,retrospective
1526,12416671,prospective studies
1527,12416671,prospective
1529,11889153,prospective studies
1530,11889153,prospective
1533,12964969,case-control studies
1534,12964969,case-control
1536,15125404,retrospective studies
1537,15125404,prospective studies
1538,15125404,retrospective
1539,15125404,prospective
1543,14529228,retrospective studies
1544,14529228,retrospective
1546,12548112,case-control studies
1547,12548112,case-control
1548,11751065,cohort studies
1549,11751065,cross-sectional studies
1550,11751065,cohort
1551,11751065,cross-sectional
1553,12582024,case-control studies
1554,12582024,case-control
1555,12369561,prospective
1556,12137681,prospective studies
1557,12137681,cross-sectional studies
1558,12137681,prospective
1559,12137681,cross-sectional
1560,12117262,case-control studies
1561,12117262,case-control
1563,14640171,retrospective studies
1564,14640171,retrospective
1570,12459031,follow-up studies
1574,14564827,retrospective
1586,12236036,retrospective studies
1587,12236036,retrospective
1598,12431043,case-control studies
1599,12431043,case-control
1602,15244202,case-control studies
1603,15244202,case-control
1604,14971282,retrospective studies
1605,14971282,retrospective
1610,12855016,cohort studies
1611,12855016,cohort
1613,14629801,prospective studies
1614,14629801,prospective
1616,14608741,retrospective studies
1617,14608741,retrospective
1618,12660626,retrospective studies
1619,12660626,retrospective
1621,12360381,cohort studies
1622,12360381,follow-up studies
1623,12360381,cohort
1624,12181998,retrospective studies
1625,12181998,retrospective
1631,12588307,retrospective studies
1632,12588307,retrospective
1634,12244294,retrospective studies
1635,12244294,retrospective
1641,12112538,retrospective studies
1642,12112538,retrospective
1643,14997835,prospective studies
1644,14997835,prospective
1646,12727986,case-control studies
1647,12727986,case-control
1650,12420956,case-control studies
1651,12420956,case-control
1661,12971577,cross-sectional studies
1662,12971577,cross-sectional
1663,12433731,case-control studies
1664,12433731,follow-up studies
1665,12433731,prospective studies
1666,12433731,case-control
1667,12433731,prospective
1673,12858008,retrospective studies
1674,12858008,retrospective
1675,12564092,prospective studies
1676,12564092,prospective
1677,12475368,cohort studies
1678,12475368,cohort
1680,12845835,prospective
1681,11999999,case-control studies
1682,11999999,case-control
1683,14673664,follow-up studies
1685,16444153,retrospective studies
1686,16444153,retrospective
1692,12754531,retrospective studies
1693,12754531,retrospective
1698,12744091,retrospective studies
1699,12744091,retrospective
1700,12390993,prospective studies
1701,12390993,prospective
1702,12939927,retrospective studies
1703,12939927,retrospective
1705,12165113,follow-up studies
1710,12100071,case-control studies
1711,12100071,prospective studies
1712,12100071,case-control
1713,12100071,prospective
1716,12448333,follow-up studies
1724,11994321,prospective studies
1725,11994321,prospective
1726,12872571,retrospective studies
1727,12872571,retrospective
1732,15776623,retrospective studies
1733,15776623,retrospective
1737,12744112,prospective studies
1738,12744112,prospective
1744,12058306,retrospective
1749,14594114,prospective studies
1750,14594114,prospective
1751,14594114,cross-sectional
1755,11943128,follow-up studies
1756,11943128,prospective studies
1757,11943128,prospective
1759,12011531,case-control studies
1760,12011531,case-control
1761,12791817,prospective
1765,12920749,retrospective studies
1766,12920749,retrospective
1767,12788906,cohort
1770,12269919,retrospective
1771,12612810,prospective
1773,15030063,case-control studies
1774,15030063,cross-sectional studies
1775,15030063,case-control
1776,15030063,cross-sectional
1782,12962424,retrospective studies
1783,12962424,retrospective
1786,11914885,follow-up studies
1787,11914885,prospective studies
1788,11914885,prospective
1789,12087461,case-control studies
1790,12087461,case-control
1791,11972289,cross-sectional studies
1792,11972289,cross-sectional
1800,14740541,prospective
1806,12392209,prospective studies
1807,12392209,prospective
1816,12225642,cohort studies
1817,12225642,cohort
1827,12150330,retrospective studies
1828,12150330,retrospective
1829,11865745,prospective studies
1830,11865745,prospective
1831,12099393,cohort studies
1832,12099393,cohort
1839,12611610,cohort
1840,12066223,retrospective
1841,12058300,prospective studies
1842,12058300,prospective
1845,12173910,retrospective studies
1846,12173910,retrospective
1847,12017319,prospective
1851,14763429,follow-up studies
1852,14763429,prospective studies
1853,14763429,prospective
1857,12469460,retrospective studies
1858,12469460,retrospective
1859,15055474,case-control studies
1860,15055474,case-control
1861,12364419,cohort studies
1862,12364419,prospective studies
1863,12364419,cohort
1864,12364419,prospective
1865,12126098,retrospective studies
1866,12126098,retrospective
1869,12426269,prospective studies
1870,12426269,prospective
1872,12708901,retrospective studies
1873,12708901,retrospective
1874,12444888,follow-up studies
1879,12540505,case-control
1881,11983726,follow-up studies
1882,11983726,cross-sectional studies
1883,11983726,cross-sectional
1886,11889151,case-control studies
1887,11889151,case-control
1889,31427038,longitudinal
1890,31427038,cross-sectional
1892,31477522,cross-sectional
1896,30060274,follow-up studies
1897,29345225,prospective studies
1898,29345225,prospective
1901,30105567,cross-sectional studies
1902,30105567,cross-sectional
1909,29580356,retrospective studies
1910,29580356,retrospective
1911,31104806,retrospective
1916,30947246,cross-sectional studies
1917,30947246,cross-sectional
1918,30516760,case-control studies
1919,30516760,case-control
1922,29619937,cohort
1927,30017236,retrospective studies
1928,30017236,retrospective
1931,31614658,retrospective studies
1932,31614658,retrospective
1933,29284787,cross-sectional studies
1934,29284787,cross-sectional
1936,30055961,retrospective studies
1937,30055961,retrospective
1938,30415868,retrospective studies
1939,30415868,retrospective
1940,30415868,prospective
1941,31552848,cross-sectional studies
1942,31552848,cross-sectional
1947,31074402,retrospective studies
1948,31074402,retrospective
1950,30900322,prospective studies
1951,30900322,prospective
1954,30694184,cross-sectional studies
1955,30694184,cross-sectional
1958,30925960,retrospective studies
1959,30925960,retrospective
1961,31668873,cohort studies
1962,31668873,cohort
1968,29897006,cohort
1971,30489630,prospective
1978,30759490,follow-up studies
1979,30759490,longitudinal
1985,28602544,retrospective studies
1986,28602544,cohort studies
1987,28602544,follow-up studies
1988,28602544,retrospective
1989,28602544,cohort
1994,30932000,cross-sectional studies
1995,30932000,cross-sectional
1997,31740871,retrospective studies
1998,31740871,retrospective
1999,29406821,cohort
2003,29452573,prospective studies
2004,29452573,prospective
2007,30084100,case-control studies
2008,30084100,case-control
2021,29360235,retrospective studies
2022,29360235,cohort studies
2023,29360235,follow-up studies
2024,29360235,retrospective
2025,29360235,cohort
2033,30583800,retrospective studies
2034,30583800,retrospective
2035,30583800,prospective
2038,30124533,prospective studies
2039,30124533,prospective
2044,30158361,retrospective studies
2045,30158361,retrospective
2050,28942461,follow-up studies
2052,30484670,cohort studies
2053,30484670,cohort
2070,31758881,retrospective studies
2071,31758881,retrospective
2073,31235068,case-control studies
2074,31235068,retrospective studies
2075,31235068,case-control
2076,31235068,retrospective
2085,31721133,prospective
2103,30536022,cohort
2108,29319139,follow-up studies
2109,31691668,retrospective studies
2110,31691668,retrospective
2112,30918569,retrospective studies
2113,30918569,retrospective
2114,29043407,prospective studies
2115,29043407,cohort
2116,29043407,prospective
2132,30099546,follow-up studies
2135,29346358,retrospective studies
2136,29346358,retrospective
2138,29325833,retrospective studies
2139,29325833,retrospective
2141,30827828,cohort studies
2142,30827828,cohort
2147,29353393,case-control studies
2148,29353393,retrospective studies
2149,29353393,case-control
2150,29353393,retrospective
2151,29915191,prospective studies
2152,29915191,cohort
2153,29915191,prospective
2158,29905638,retrospective studies
2159,29905638,follow-up studies
2160,29905638,retrospective
2161,28450378,retrospective studies
2162,28450378,follow-up studies
2163,28450378,retrospective
2164,30949910,case-control studies
2165,30949910,case-control
2168,31132076,case-control studies
2169,31132076,case-control
2173,30957064,prospective studies
2174,30957064,cohort
2175,30957064,prospective
2178,31144509,retrospective studies
2179,31144509,retrospective
2181,31496266,retrospective studies
2182,31496266,follow-up studies
2183,31496266,retrospective
2191,29108474,retrospective studies
2192,29108474,cross-sectional studies
2193,29108474,retrospective
2194,29108474,cross-sectional
2196,31713721,retrospective studies
2197,31713721,retrospective
2198,31713721,cohort
2207,30351170,case-control studies
2208,30351170,case-control
2209,30351170,cohort
2211,30311856,cross-sectional studies
2212,30311856,cross-sectional
2215,31450040,retrospective studies
2216,31450040,prospective studies
2217,31450040,retrospective
2218,31450040,prospective
2220,30541519,retrospective studies
2221,30541519,cohort studies
2222,30541519,follow-up studies
2223,30541519,retrospective
2224,30541519,cohort
2228,31869260,case-control studies
2229,31869260,case-control
2232,29234848,prospective studies
2233,29234848,prospective
2238,30537006,case-control studies
2239,30537006,case-control
2240,30537006,cohort
2242,30184561,cross-sectional studies
2243,30184561,cross-sectional
2247,30865069,follow-up studies
2249,31762351,case-control studies
2250,31762351,cohort studies
2251,31762351,case-control
2252,31762351,cohort
2254,30654201,case-control studies
2255,30654201,case-control
2256,31633822,retrospective studies
2257,31633822,retrospective
2258,31633822,cohort
2262,31749116,retrospective studies
2263,31749116,retrospective
2264,31749116,cohort
2265,30588916,retrospective
2266,30955175,retrospective studies
2267,30955175,follow-up studies
2268,30955175,retrospective
2270,31859554,prospective studies
2271,31859554,prospective
2276,31187663,case-control studies
2277,31187663,case-control
2278,31187663,cohort
2279,30183803,cross-sectional studies
2280,30183803,cross-sectional
2281,30129540,cross-sectional studies
2282,30129540,cross-sectional
2284,31407208,retrospective studies
2285,31407208,retrospective
2286,30513035,retrospective studies
2287,30513035,retrospective
2288,30513035,cohort
2289,31222404,follow-up studies
2290,31222404,prospective studies
2291,31222404,prospective
2292,30862149,retrospective studies
2293,30862149,follow-up studies
2294,30862149,retrospective
2297,30688164,case-control studies
2298,30688164,prospective studies
2299,30688164,case-control
2300,30688164,prospective
2301,30173328,cross-sectional studies
2302,30173328,cross-sectional
2303,30924917,case-control studies
2304,30924917,retrospective studies
2305,30924917,case-control
2306,30924917,retrospective
2308,29281760,case-control studies
2309,29281760,case-control
2311,29923059,retrospective
2312,29923059,cross-sectional
2313,29043478,follow-up studies
2315,29579336,prospective studies
2316,29579336,prospective
2317,31184263,follow-up studies
2318,31184263,cohort
2319,31184263,prospective
2320,31849168,follow-up studies
2321,31849168,retrospective
2324,30457413,retrospective
2326,29325052,case-control studies
2327,29325052,case-control
2328,30760283,cohort
2329,31655515,case-control studies
2330,31655515,retrospective studies
2331,31655515,case-control
2332,31655515,retrospective
2334,29532142,retrospective studies
2335,29532142,retrospective
2336,30880636,cross-sectional studies
2337,30880636,cross-sectional
2339,29306930,retrospective studies
2340,29306930,follow-up studies
2341,29306930,retrospective
2342,30649410,cohort
2344,28569050,case-control studies
2345,28569050,case-control
2347,30302663,retrospective studies
2348,30302663,follow-up studies
2349,30302663,retrospective
2350,32397019,retrospective studies
2351,32397019,retrospective
2352,29595868,retrospective studies
2353,29595868,retrospective
2354,29450866,cohort studies
2355,29450866,follow-up studies
2356,29450866,prospective studies
2357,29450866,cohort
2358,29450866,prospective
2360,31408495,cross-sectional studies
2361,31408495,cross-sectional
2365,30540214,prospective studies
2366,30540214,cohort
2367,30540214,prospective
2368,31192951,retrospective studies
2369,31192951,retrospective
2371,31646433,retrospective studies
2372,31646433,retrospective
2374,30334140,longitudinal studies
2375,30334140,longitudinal
2376,30334140,prospective
2377,31137051,follow-up studies
2383,30369298,retrospective studies
2384,30369298,retrospective
2385,30369298,prospective
2386,30741891,retrospective studies
2387,30741891,cohort studies
2388,30741891,retrospective
2389,30741891,cohort
2391,31536167,retrospective studies
2392,31536167,retrospective
2393,30724266,case-control studies
2394,30724266,case-control
2395,30843012,retrospective
2399,29066572,cohort studies
2400,29066572,follow-up studies
2401,29066572,prospective studies
2402,29066572,cohort
2403,29066572,prospective
2405,29040161,retrospective studies
2406,29040161,retrospective
2407,30753531,follow-up studies
2410,31727496,cross-sectional studies
2411,31727496,cross-sectional
2413,28328557,retrospective studies
2414,28328557,cross-sectional studies
2415,28328557,retrospective
2416,28328557,cross-sectional
2417,29660100,cross-sectional studies
2418,29660100,cross-sectional
2419,30387079,case-control studies
2420,30387079,prospective studies
2421,30387079,case-control
2422,30387079,prospective
2423,29710102,cohort studies
2424,29710102,cohort
2425,31237847,prospective studies
2426,31237847,prospective
2427,31201593,retrospective studies
2428,31201593,retrospective
2430,29851756,retrospective studies
2431,29851756,follow-up studies
2432,29851756,retrospective
2434,29590674,retrospective studies
2435,29590674,retrospective
2436,30217613,retrospective studies
2437,30217613,retrospective
2438,30217613,cohort
2439,30217607,retrospective studies
2440,30217607,retrospective
2441,31641884,retrospective studies
2442,31641884,follow-up studies
2443,31641884,case-control
2444,31641884,retrospective
2445,30862763,retrospective studies
