,PMID,Condition,Category
73,12174459,graves disease,hyperthyroidism
74,12490836,goiter,goiter
74,12490836,"goiter, nodular",goiter
74,12490836,hyperthyroidism,hyperthyroidism
75,12803064,graves disease,hyperthyroidism
76,11891400,goiter,goiter
76,11891400,"goiter, nodular",goiter
76,11891400,thyroid neoplasms,thyroid neoplasms
76,11891400,thyroidectomy,thyroid disease
77,12690684,goiter,goiter
77,12690684,"goiter, substernal",goiter
77,12690684,thyroidectomy,thyroid disease
78,17016950,goiter,goiter
78,17016950,"goiter, endemic",goiter
78,17016950,congenital hypothyroidism,hypothyroidism
78,17016950,hypothyroidism,hypothyroidism
79,12679417,goiter,goiter
79,12679417,hyperthyroidism,hyperthyroidism
79,12679417,hypothyroidism,hypothyroidism
79,12679417,thyroid neoplasms,thyroid neoplasms
79,12679417,thyroiditis,thyroiditis
79,12679417,thyroid disease,thyroid disease
79,12679417,thyroid diseases,thyroid disease
79,12679417,thyroid gland,thyroid disease
80,14602763,goiter,goiter
80,14602763,hypothyroidism,hypothyroidism
80,14602763,thyroiditis,thyroiditis
81,12094148,goiter,goiter
81,12094148,graves' disease,hyperthyroidism
81,12094148,thyroid neoplasms,thyroid neoplasms
81,12094148,"thyroiditis, autoimmune",thyroiditis
81,12094148,thyroiditis,thyroiditis
81,12094148,thyroid disease,thyroid disease
82,11933818,graves disease,hyperthyroidism
83,12955839,goiter,goiter
83,12955839,thyroidectomy,thyroid disease
84,11835230,goiter,goiter
84,11835230,hypothyroidism,hypothyroidism
84,11835230,thyroid gland,thyroid disease
85,12053283,goiter,goiter
85,12053283,hyperthyroidism,hyperthyroidism
85,12053283,thyroid hormone resistance syndrome,hyperthyroxinemia
86,12118320,goiter,goiter
86,12118320,thyroid neoplasms,thyroid neoplasms
87,12584893,goiter,goiter
87,12584893,"goiter, nodular",goiter
87,12584893,thyroid nodule,thyroid nodule
88,12192543,goiter,goiter
88,12192543,hyperthyroidism,hyperthyroidism
88,12192543,graves disease,hyperthyroidism
88,12192543,congenital hypothyroidism,hypothyroidism
88,12192543,hypothyroidism,hypothyroidism
88,12192543,thyroid neoplasms,thyroid neoplasms
88,12192543,thyroid nodule,thyroid nodule
88,12192543,"thyroiditis, autoimmune",thyroiditis
88,12192543,thyroiditis,thyroiditis
88,12192543,thyroid disease,thyroid disease
88,12192543,thyroid diseases,thyroid disease
88,12192543,thyroid gland,thyroid disease
88,12192543,thyroidectomy,thyroid disease
89,12804111,goiter,goiter
89,12804111,"goiter, nodular",goiter
90,12618333,goiter,goiter
90,12618333,thyroid neoplasms,thyroid neoplasms
90,12618333,thyroid gland,thyroid disease
91,12957093,goiter,goiter
91,12957093,"goiter, nodular",goiter
92,12173852,goiter,goiter
92,12173852,"goiter, nodular",goiter
92,12173852,thyroid gland,thyroid disease
93,12163229,graves disease,hyperthyroidism
94,12707632,goiter,goiter
94,12707632,thyroid gland,thyroid disease
95,14514161,goiter,goiter
95,14514161,thyroid disease,thyroid disease
95,14514161,thyroid diseases,thyroid disease
96,12691928,goiter,goiter
96,12691928,"goiter, endemic",goiter
96,12691928,thyroid neoplasms,thyroid neoplasms
96,12691928,thyroid gland,thyroid disease
96,12691928,thyroidectomy,thyroid disease
97,11961503,goiter,goiter
97,11961503,"goiter, nodular",goiter
97,11961503,hyperthyroidism,hyperthyroidism
97,11961503,graves disease,hyperthyroidism
97,11961503,thyrotoxicosis,hyperthyroidism
97,11961503,thyroid neoplasms,thyroid neoplasms
97,11961503,thyroidectomy,thyroid disease
98,11838733,goiter,goiter
98,11838733,"goiter, nodular",goiter
98,11838733,hyperthyroidism,hyperthyroidism
98,11838733,graves disease,hyperthyroidism
98,11838733,graves' disease,hyperthyroidism
98,11838733,hypothyroidism,hypothyroidism
99,12112820,goiter,goiter
99,12112820,thyroid gland,thyroid disease
100,12762644,goiter,goiter
100,12762644,thyroid neoplasms,thyroid neoplasms
101,12843153,goiter,goiter
101,12843153,"goiter, nodular",goiter
101,12843153,hyperthyroidism,hyperthyroidism
101,12843153,thyroid gland,thyroid disease
102,12938097,goiter,goiter
102,12938097,hypothyroidism,hypothyroidism
102,12938097,thyroid gland,thyroid disease
103,14588104,goiter,goiter
103,14588104,"goiter, nodular",goiter
103,14588104,thyroidectomy,thyroid disease
104,12723261,goiter,goiter
104,12723261,"goiter, substernal",goiter
104,12723261,hyperthyroidism,hyperthyroidism
104,12723261,graves' disease,hyperthyroidism
105,12192540,goiter,goiter
105,12192540,"goiter, endemic",goiter
105,12192540,congenital hypothyroidism,hypothyroidism
105,12192540,hypothyroidism,hypothyroidism
106,11943633,goiter,goiter
106,11943633,hyperthyroidism,hyperthyroidism
106,11943633,hypothyroidism,hypothyroidism
107,14660812,goiter,goiter
107,14660812,hypothyroidism,hypothyroidism
108,11879144,graves disease,hyperthyroidism
109,12122718,goiter,goiter
109,12122718,"goiter, nodular",goiter
109,12122718,thyroidectomy,thyroid disease
110,11788632,goiter,goiter
110,11788632,"goiter, nodular",goiter
111,12975279,goiter,goiter
111,12975279,thyroid gland,thyroid disease
112,12227127,goiter,goiter
113,14611703,goiter,goiter
113,14611703,"goiter, nodular",goiter
113,14611703,hyperthyroidism,hyperthyroidism
113,14611703,thyroid nodule,thyroid nodule
114,12068130,goiter,goiter
114,12068130,hyperthyroidism,hyperthyroidism
114,12068130,graves disease,hyperthyroidism
114,12068130,graves' disease,hyperthyroidism
114,12068130,hypothyroidism,hypothyroidism
114,12068130,thyroid disease,thyroid disease
114,12068130,thyroid diseases,thyroid disease
115,11835123,goiter,goiter
115,11835123,hyperthyroidism,hyperthyroidism
115,11835123,graves disease,hyperthyroidism
115,11835123,graves' disease,hyperthyroidism
115,11835123,thyroid gland,thyroid disease
116,12666822,goiter,goiter
116,12666822,"goiter, endemic",goiter
116,12666822,thyroid gland,thyroid disease
117,12218817,goiter,goiter
117,12218817,graves disease,hyperthyroidism
117,12218817,thyroid gland,thyroid disease
118,14636743,goiter,goiter
118,14636743,thyroid crisis,hyperthyroidism
119,12874154,graves disease,hyperthyroidism
119,12874154,graves' disease,hyperthyroidism
120,14520113,goiter,goiter
120,14520113,"goiter, nodular",goiter
120,14520113,graves disease,hyperthyroidism
120,14520113,hypothyroidism,hypothyroidism
120,14520113,"thyroiditis, autoimmune",thyroiditis
120,14520113,thyroiditis,thyroiditis
120,14520113,thyroid disease,thyroid disease
120,14520113,thyroid diseases,thyroid disease
120,14520113,thyroidectomy,thyroid disease
121,12225636,goiter,goiter
121,12225636,"goiter, nodular",goiter
121,12225636,graves disease,hyperthyroidism
121,12225636,graves' disease,hyperthyroidism
122,12602545,goiter,goiter
122,12602545,"goiter, endemic",goiter
123,12088916,goiter,goiter
123,12088916,postpartum thyroiditis,thyroiditis
123,12088916,thyroiditis,thyroiditis
124,12082704,goiter,goiter
124,12082704,"goiter, endemic",goiter
125,14727345,goiter,goiter
126,12112546,goiter,goiter
127,14666764,goiter,goiter
127,14666764,graves disease,hyperthyroidism
127,14666764,graves' disease,hyperthyroidism
128,12232474,goiter,goiter
128,12232474,"goiter, nodular",goiter
128,12232474,hyperthyroidism,hyperthyroidism
129,12487766,goiter,goiter
129,12487766,hyperthyroidism,hyperthyroidism
129,12487766,graves disease,hyperthyroidism
129,12487766,graves' disease,hyperthyroidism
130,14645617,goiter,goiter
131,12446919,goiter,goiter
131,12446919,"goiter, nodular",goiter
132,11936475,goiter,goiter
132,11936475,"goiter, nodular",goiter
133,12973493,goiter,goiter
133,12973493,thyroid gland,thyroid disease
134,12184022,goiter,goiter
134,12184022,thyroiditis,thyroiditis
134,12184022,thyroid disease,thyroid disease
134,12184022,thyroid diseases,thyroid disease
134,12184022,thyroidectomy,thyroid disease
135,12879780,goiter,goiter
135,12879780,"goiter, nodular",goiter
135,12879780,hyperthyroidism,hyperthyroidism
136,12195240,goiter,goiter
136,12195240,thyroid nodule,thyroid nodule
137,14762489,goiter,goiter
137,14762489,"goiter, endemic",goiter
137,14762489,thyroid disease,thyroid disease
137,14762489,thyroid diseases,thyroid disease
137,14762489,thyroid gland,thyroid disease
138,14673283,goiter,goiter
139,12088914,goiter,goiter
139,12088914,graves disease,hyperthyroidism
140,11936460,goiter,goiter
140,11936460,congenital hypothyroidism,hypothyroidism
140,11936460,hypothyroidism,hypothyroidism
141,12813398,goiter,goiter
141,12813398,"goiter, substernal",goiter
141,12813398,thyroid disease,thyroid disease
141,12813398,thyroid diseases,thyroid disease
142,14534011,goiter,goiter
142,14534011,"goiter, nodular",goiter
142,14534011,"goiter, substernal",goiter
142,14534011,hyperthyroidism,hyperthyroidism
143,12296417,goiter,goiter
144,15641552,goiter,goiter
144,15641552,"goiter, substernal",goiter
144,15641552,thyroidectomy,thyroid disease
145,12240868,goiter,goiter
146,12193875,goiter,goiter
146,12193875,thyroid nodule,thyroid nodule
146,12193875,thyroidectomy,thyroid disease
147,12140107,goiter,goiter
148,11975374,goiter,goiter
149,12872655,goiter,goiter
149,12872655,"goiter, endemic",goiter
149,12872655,"thyroiditis, autoimmune",thyroiditis
149,12872655,thyroiditis,thyroiditis
149,12872655,thyroid gland,thyroid disease
150,12235469,goiter,goiter
150,12235469,"goiter, nodular",goiter
150,12235469,thyroid neoplasms,thyroid neoplasms
150,12235469,thyroid nodule,thyroid nodule
151,11939756,goiter,goiter
151,11939756,thyroid gland,thyroid disease
152,14639798,goiter,goiter
152,14639798,thyroid gland,thyroid disease
153,12876418,goiter,goiter
153,12876418,"goiter, nodular",goiter
153,12876418,hyperthyroidism,hyperthyroidism
153,12876418,graves disease,hyperthyroidism
153,12876418,graves' disease,hyperthyroidism
153,12876418,thyroid neoplasms,thyroid neoplasms
154,12171050,goiter,goiter
155,14654340,goiter,goiter
155,14654340,"goiter, endemic",goiter
156,12742217,goiter,goiter
156,12742217,"goiter, substernal",goiter
156,12742217,thyroidectomy,thyroid disease
157,16444154,goiter,goiter
157,16444154,"goiter, endemic",goiter
157,16444154,hypothyroidism,hypothyroidism
158,15806798,goiter,goiter
158,15806798,"goiter, endemic",goiter
158,15806798,thyroid gland,thyroid disease
159,12953405,goiter,goiter
159,12953405,"goiter, nodular",goiter
159,12953405,thyroid neoplasms,thyroid neoplasms
159,12953405,thyroid gland,thyroid disease
160,12199330,goiter,goiter
160,12199330,"goiter, endemic",goiter
160,12199330,thyroid gland,thyroid disease
161,12895627,goiter,goiter
161,12895627,"goiter, nodular",goiter
161,12895627,thyroid gland,thyroid disease
161,12895627,thyroidectomy,thyroid disease
162,14717526,goiter,goiter
162,14717526,"goiter, substernal",goiter
162,14717526,thyroidectomy,thyroid disease
163,15518150,goiter,goiter
163,15518150,"goiter, nodular",goiter
163,15518150,thyroid neoplasms,thyroid neoplasms
163,15518150,thyroid disease,thyroid disease
163,15518150,thyroid diseases,thyroid disease
163,15518150,thyroid gland,thyroid disease
164,12434111,hyperthyroidism,hyperthyroidism
164,12434111,graves disease,hyperthyroidism
164,12434111,graves' disease,hyperthyroidism
164,12434111,thyroidectomy,thyroid disease
165,14513882,goiter,goiter
166,12076947,goiter,goiter
166,12076947,"goiter, nodular",goiter
167,12884093,goiter,goiter
167,12884093,"goiter, nodular",goiter
167,12884093,graves disease,hyperthyroidism
167,12884093,graves' disease,hyperthyroidism
167,12884093,hypothyroidism,hypothyroidism
167,12884093,thyroid gland,thyroid disease
167,12884093,thyroidectomy,thyroid disease
168,12926167,goiter,goiter
168,12926167,"goiter, nodular",goiter
168,12926167,thyroid neoplasms,thyroid neoplasms
168,12926167,thyroid nodule,thyroid nodule
169,11881292,goiter,goiter
169,11881292,thyroid neoplasms,thyroid neoplasms
169,11881292,thyroidectomy,thyroid disease
170,12577605,hyperthyroidism,hyperthyroidism
170,12577605,graves disease,hyperthyroidism
170,12577605,graves' disease,hyperthyroidism
170,12577605,thyrotoxicosis,hyperthyroidism
170,12577605,thyroiditis,thyroiditis
171,12762632,goiter,goiter
171,12762632,"goiter, nodular",goiter
171,12762632,hyperthyroidism,hyperthyroidism
171,12762632,graves' disease,hyperthyroidism
171,12762632,thyrotoxicosis,hyperthyroidism
172,12940694,goiter,goiter
172,12940694,"goiter, endemic",goiter
173,11858626,goiter,goiter
173,11858626,"goiter, nodular",goiter
173,11858626,hyperthyroidism,hyperthyroidism
173,11858626,graves disease,hyperthyroidism
173,11858626,graves' disease,hyperthyroidism
174,12808806,goiter,goiter
174,12808806,"goiter, nodular",goiter
174,12808806,hyperthyroidism,hyperthyroidism
174,12808806,graves disease,hyperthyroidism
174,12808806,graves' disease,hyperthyroidism
174,12808806,thyroid gland,thyroid disease
175,12192547,goiter,goiter
175,12192547,"goiter, nodular",goiter
175,12192547,thyroidectomy,thyroid disease
176,11921647,goiter,goiter
176,11921647,thyroiditis,thyroiditis
176,11921647,thyroid gland,thyroid disease
177,14768805,goiter,goiter
178,11834423,goiter,goiter
178,11834423,graves disease,hyperthyroidism
178,11834423,graves' disease,hyperthyroidism
178,11834423,hypothyroidism,hypothyroidism
178,11834423,"thyroiditis, autoimmune",thyroiditis
178,11834423,thyroiditis,thyroiditis
178,11834423,thyroid disease,thyroid disease
178,11834423,thyroid diseases,thyroid disease
179,15027744,goiter,goiter
179,15027744,"goiter, nodular",goiter
180,12553699,goiter,goiter
180,12553699,graves disease,hyperthyroidism
180,12553699,"thyroiditis, autoimmune",thyroiditis
180,12553699,thyroiditis,thyroiditis
181,12602535,goiter,goiter
181,12602535,thyroid gland,thyroid disease
182,12066519,goiter,goiter
182,12066519,"goiter, endemic",goiter
182,12066519,"goiter, nodular",goiter
182,12066519,thyroid gland,thyroid disease
183,12710051,graves disease,hyperthyroidism
183,12710051,"thyroiditis, autoimmune",thyroiditis
183,12710051,thyroiditis,thyroiditis
184,12442085,goiter,goiter
184,12442085,hyperthyroidism,hyperthyroidism
184,12442085,hypothyroidism,hypothyroidism
184,12442085,thyroid disease,thyroid disease
184,12442085,thyroid diseases,thyroid disease
185,15179770,goiter,goiter
185,15179770,"goiter, nodular",goiter
185,15179770,graves disease,hyperthyroidism
185,15179770,graves' disease,hyperthyroidism
185,15179770,thyroid neoplasms,thyroid neoplasms
185,15179770,"thyroiditis, autoimmune",thyroiditis
185,15179770,thyroiditis,thyroiditis
186,12005008,goiter,goiter
186,12005008,"goiter, nodular",goiter
186,12005008,thyroid nodule,thyroid nodule
187,12508924,goiter,goiter
187,12508924,"goiter, nodular",goiter
187,12508924,hyperthyroidism,hyperthyroidism
187,12508924,hypothyroidism,hypothyroidism
187,12508924,thyroid gland,thyroid disease
187,12508924,thyroidectomy,thyroid disease
188,14521769,goiter,goiter
189,12397534,goiter,goiter
189,12397534,hyperthyroidism,hyperthyroidism
189,12397534,thyroid nodule,thyroid nodule
189,12397534,thyroid gland,thyroid disease
190,12723563,goiter,goiter
190,12723563,"goiter, nodular",goiter
190,12723563,hyperthyroidism,hyperthyroidism
190,12723563,thyroid neoplasms,thyroid neoplasms
191,12630081,goiter,goiter
191,12630081,"goiter, nodular",goiter
191,12630081,hyperthyroidism,hyperthyroidism
192,12952377,goiter,goiter
192,12952377,graves disease,hyperthyroidism
193,12798486,goiter,goiter
193,12798486,thyroid hormone resistance syndrome,hyperthyroxinemia
193,12798486,thyroid gland,thyroid disease
193,12798486,thyroidectomy,thyroid disease
194,12607674,goiter,goiter
194,12607674,thyroid neoplasms,thyroid neoplasms
194,12607674,thyroid gland,thyroid disease
195,15179761,goiter,goiter
195,15179761,"goiter, substernal",goiter
195,15179761,thyroid neoplasms,thyroid neoplasms
196,12698518,goiter,goiter
196,12698518,hypothyroidism,hypothyroidism
196,12698518,thyroiditis,thyroiditis
197,12185993,goiter,goiter
197,12185993,"goiter, nodular",goiter
197,12185993,thyroid neoplasms,thyroid neoplasms
197,12185993,thyroid nodule,thyroid nodule
198,11916292,goiter,goiter
198,11916292,thyroid neoplasms,thyroid neoplasms
199,12822378,goiter,goiter
199,12822378,"goiter, endemic",goiter
200,11989127,goiter,goiter
201,14561369,goiter,goiter
201,14561369,"goiter, nodular",goiter
201,14561369,thyroid gland,thyroid disease
201,14561369,thyroidectomy,thyroid disease
202,11885374,goiter,goiter
203,11953906,graves disease,hyperthyroidism
203,11953906,thyroidectomy,thyroid disease
204,12423440,goiter,goiter
204,12423440,"goiter, nodular",goiter
205,12864792,goiter,goiter
205,12864792,"goiter, nodular",goiter
205,12864792,graves disease,hyperthyroidism
205,12864792,graves' disease,hyperthyroidism
205,12864792,thyrotoxicosis,hyperthyroidism
205,12864792,hypothyroidism,hypothyroidism
205,12864792,"thyroiditis, autoimmune",thyroiditis
205,12864792,thyroiditis,thyroiditis
205,12864792,thyroid disease,thyroid disease
205,12864792,thyroid diseases,thyroid disease
206,11827763,goiter,goiter
207,12855011,graves disease,hyperthyroidism
207,12855011,graves' disease,hyperthyroidism
208,12100323,goiter,goiter
208,12100323,thyroid gland,thyroid disease
209,12213667,goiter,goiter
209,12213667,hyperthyroidism,hyperthyroidism
209,12213667,hypothyroidism,hypothyroidism
209,12213667,thyroid disease,thyroid disease
209,12213667,thyroid diseases,thyroid disease
209,12213667,thyroid gland,thyroid disease
210,12945172,goiter,goiter
210,12945172,"goiter, substernal",goiter
211,12195241,goiter,goiter
211,12195241,thyroid nodule,thyroid nodule
211,12195241,thyroiditis,thyroiditis
212,14725052,goiter,goiter
212,14725052,"goiter, nodular",goiter
212,14725052,graves disease,hyperthyroidism
212,14725052,graves' disease,hyperthyroidism
212,14725052,thyrotoxicosis,hyperthyroidism
213,12765001,goiter,goiter
213,12765001,"goiter, substernal",goiter
213,12765001,thyroidectomy,thyroid disease
214,12601300,goiter,goiter
214,12601300,thyroid neoplasms,thyroid neoplasms
214,12601300,thyroid nodule,thyroid nodule
214,12601300,thyroid gland,thyroid disease
215,12832032,goiter,goiter
216,12746758,goiter,goiter
216,12746758,"goiter, endemic",goiter
216,12746758,graves disease,hyperthyroidism
216,12746758,graves' disease,hyperthyroidism
216,12746758,"thyroiditis, autoimmune",thyroiditis
216,12746758,thyroiditis,thyroiditis
216,12746758,thyroid gland,thyroid disease
217,12948296,goiter,goiter
217,12948296,thyroid disease,thyroid disease
217,12948296,thyroid diseases,thyroid disease
217,12948296,thyroid gland,thyroid disease
218,12424935,graves disease,hyperthyroidism
219,12186643,goiter,goiter
220,12612130,goiter,goiter
221,12193307,goiter,goiter
221,12193307,graves disease,hyperthyroidism
221,12193307,graves' disease,hyperthyroidism
221,12193307,"thyroiditis, autoimmune",thyroiditis
221,12193307,thyroiditis,thyroiditis
221,12193307,thyroid disease,thyroid disease
221,12193307,thyroid diseases,thyroid disease
221,12193307,thyroid gland,thyroid disease
222,12953431,goiter,goiter
222,12953431,"goiter, nodular",goiter
222,12953431,hypothyroidism,hypothyroidism
223,12713257,goiter,goiter
223,12713257,thyroid gland,thyroid disease
224,11929086,goiter,goiter
224,11929086,hyperthyroidism,hyperthyroidism
224,11929086,graves disease,hyperthyroidism
224,11929086,graves' disease,hyperthyroidism
225,14665720,goiter,goiter
225,14665720,"goiter, nodular",goiter
225,14665720,thyroid neoplasms,thyroid neoplasms
225,14665720,"thyroiditis, autoimmune",thyroiditis
225,14665720,thyroiditis,thyroiditis
225,14665720,thyroid disease,thyroid disease
225,14665720,thyroid diseases,thyroid disease
226,12684664,goiter,goiter
226,12684664,graves disease,hyperthyroidism
226,12684664,graves' disease,hyperthyroidism
226,12684664,thyroid neoplasms,thyroid neoplasms
226,12684664,thyroid gland,thyroid disease
227,12879562,graves disease,hyperthyroidism
228,12371079,goiter,goiter
228,12371079,hyperthyroidism,hyperthyroidism
228,12371079,hypothyroidism,hypothyroidism
229,12847995,goiter,goiter
229,12847995,"goiter, endemic",goiter
229,12847995,hypothyroidism,hypothyroidism
230,12649781,goiter,goiter
230,12649781,"goiter, endemic",goiter
231,12901542,goiter,goiter
231,12901542,"goiter, nodular",goiter
231,12901542,thyroid neoplasms,thyroid neoplasms
231,12901542,thyroid gland,thyroid disease
231,12901542,thyroidectomy,thyroid disease
232,12920352,goiter,goiter
232,12920352,"goiter, nodular",goiter
232,12920352,hyperthyroidism,hyperthyroidism
232,12920352,graves disease,hyperthyroidism
232,12920352,graves' disease,hyperthyroidism
232,12920352,thyrotoxicosis,hyperthyroidism
232,12920352,"thyroiditis, autoimmune",thyroiditis
232,12920352,"thyroiditis, subacute",thyroiditis
232,12920352,thyroiditis,thyroiditis
232,12920352,thyroid disease,thyroid disease
232,12920352,thyroid diseases,thyroid disease
232,12920352,thyroidectomy,thyroid disease
